"",战役名称,进攻防守,兵力比归一化,地形编码,天气编码,发生时间,使用的计策
0,崤之战（春秋）,1,0.5,10,0.0,1,伏击
1,马陵之战（战国）,1,0.5555555555555556,22,2.0,0,伏击
2,巨鹿之战（秦末）,1,0.2,13,1.0,1,强攻
3,井陉之战（楚汉）,1,0.1304347826086956,8,4.0,1,伏击
4,定军山之战（三国）,1,0.8823529411764706,8,0.0,1,强攻
5,阴平之战（三国）,1,0.9090909090909092,27,3.0,0,强攻
6,白马之战（三国）,1,0.2857142857142857,13,5.0,0,强攻
7,襄平之战（东汉）,1,0.6666666666666666,5,6.0,1,强攻
8,街亭之战（三国）,1,0.8064516129032258,8,4.0,1,强攻
9,合肥之战（三国）,1,0.0079365079365079,5,2.0,0,突袭
10,彭城之战（楚汉）,1,0.0508474576271186,13,0.0,1,强攻
11,昌黎之战（三国）,1,0.25,23,5.0,1,强攻
12,巴西之战（三国）,1,0.6666666666666666,12,1.0,1,伏击
13,新城之战（魏 vs 孟达）,1,0.75,5,0.0,1,强攻
14,下辨之战（三国）,1,0.6666666666666666,8,0.0,0,强攻
15,樊城之战（三国）,1,0.625,13,4.0,1,强攻
16,蕲春之战（三国）,1,0.6666666666666666,0,6.0,0,强攻
17,石亭之战（三国）,1,0.3846153846153846,10,2.0,0,伏击
18,蓝田之战（秦末）,1,0.625,13,0.0,1,强攻
19,雁门之战（汉）,1,0.375,23,8.0,1,强攻
20,河西之战（汉）,1,0.3333333333333333,15,0.0,1,强攻
21,上党之战（战国）,1,0.6,8,1.0,1,强攻
22,垂沙之战（战国）,1,0.6153846153846154,19,2.0,0,强攻
23,即墨之战（战国）,1,0.625,5,0.0,1,伏击
24,荥阳之战（楚汉）,1,0.4,13,4.0,1,伏击
25,陇西之战（三国）,1,0.6,8,0.0,1,强攻
26,交州之战（三国）,1,0.6666666666666666,1,9.0,1,伏击
27,狄道之战（三国）,1,0.5714285714285714,12,1.0,1,强攻
28,东兴之战（三国）,1,0.4615384615384615,28,7.0,0,强攻
29,阳平关之战（三国）,1,0.625,3,0.0,1,死守
30,襄武之战（三国）,1,0.6666666666666666,13,4.0,1,骑兵突击
31,石城之战（三国）,1,0.6,5,6.0,0,突袭
32,武陵之战（三国）,1,0.25,8,0.0,0,强攻
33,白狼山之战（东汉）,1,0.2857142857142857,23,8.0,0,强攻
34,淮南之战（三国）,1,0.625,13,0.0,1,强攻
35,江州之战（三国）,1,0.3333333333333333,8,1.0,0,伏击
36,南郑之战（三国）,1,0.75,8,4.0,1,伏击
37,兖州之战（三国）,1,0.5714285714285714,13,0.0,1,强攻
38,下邳之战（三国）,1,0.7142857142857143,5,6.0,1,强攻
39,小沛之战（三国）,1,0.6666666666666666,13,5.0,0,强攻
40,陈仓之战（三国）,1,0.4,8,0.0,1,强攻
41,濡须口之战（三国）,1,0.4285714285714285,18,1.0,0,强攻
42,皖城之战（三国）,1,0.6666666666666666,5,0.0,1,强攻
43,汉水之战（三国）,1,0.4,18,5.0,1,伏击
44,西平之战（三国）,1,0.5714285714285714,8,4.0,1,伏击
45,桂陵之战（战国）,1,0.4444444444444444,12,0.0,1,强攻
46,阏与之战（战国）,1,0.3846153846153846,8,6.0,1,强攻
47,伊阙之战（战国）,1,0.6,12,2.0,1,强攻
48,鄢郢之战（战国）,1,0.5714285714285714,13,0.0,1,强攻
49,即墨反击战（战国）,1,0.5555555555555556,5,4.0,0,强攻
50,合肥之战（魏守）,0,0.9345794392523366,5,0.0,0,强攻
51,陈仓之战（魏守）,0,0.9677419354838708,8,6.0,1,死守
52,葭萌关之战（三国）,0,0.6666666666666666,9,1.0,1,死守
53,易京楼之战（东汉）,0,0.7142857142857143,29,5.0,1,死守
54,五丈原之战（三国）,0,0.625,26,3.0,1,死守
55,剑阁之战（三国）,0,0.7142857142857143,17,6.0,1,强攻
56,祁山之战（三国）,0,0.5714285714285714,11,0.0,1,强攻
57,潼关之战（三国）,0,0.6153846153846154,3,4.0,1,死守
58,江陵之战（三国）,0,0.625,4,1.0,1,死守
59,襄阳之战（三国）,0,0.4285714285714285,5,0.0,1,强攻
60,新城之战（魏 vs 吴）,0,0.75,5,4.0,1,强攻
61,寿春之战（三国）,0,0.4,20,6.0,1,死守
62,西陵之战（三国）,0,0.5555555555555556,6,0.0,1,死守
63,合肥新城之战（三国）,0,0.7142857142857143,24,5.0,1,强攻
64,狄道之战（魏守）,0,0.4,8,1.0,1,强攻
65,阳平关之战（魏守）,0,0.4285714285714285,3,0.0,1,死守
66,陇西之战（魏守）,0,0.6,8,4.0,1,强攻
67,交州之战（吴守）,0,0.25,1,6.0,1,伏击
68,南郑之战（魏守）,0,0.3333333333333333,8,0.0,1,伏击
69,兖州之战（魏守）,0,0.4,13,5.0,1,强攻
70,新城之战（魏 vs 孟达-228）,0,0.3333333333333333,5,0.0,1,强攻
71,下邳之战（魏守）,0,0.3333333333333333,5,6.0,1,强攻
72,小沛之战（吕布守）,0,0.3333333333333333,13,4.0,0,强攻
73,陈仓之战（魏守-228）,0,0.6,8,0.0,1,强攻
74,濡须口之战（吴守）,0,0.5714285714285714,18,1.0,0,强攻
75,皖城之战（吴守）,0,0.3333333333333333,5,5.0,1,强攻
76,汉水之战（蜀守）,0,0.6666666666666666,18,0.0,1,伏击
77,西平之战（魏守）,0,0.4,8,4.0,1,伏击
78,新城之战（魏 vs 孟达-231）,0,0.25,5,6.0,1,强攻
79,樊城之战（魏守）,0,0.375,13,0.0,1,强攻
80,巴西之战（蜀守）,0,0.3333333333333333,12,1.0,1,伏击
81,街亭之战（魏守）,0,0.1935483870967742,8,4.0,1,强攻
82,合肥之战（魏守-234）,0,0.992063492063492,5,0.0,0,强攻
83,陈仓之战（魏守-231）,0,0.6,8,6.0,1,死守
84,葭萌关之战（蜀守）,0,0.6666666666666666,9,5.0,1,死守
85,易京楼之战（袁绍攻）,0,0.2857142857142857,29,3.0,1,死守
86,五丈原之战（魏守）,0,0.375,26,6.0,1,死守
87,剑阁之战（蜀守-263）,0,0.7142857142857143,17,0.0,1,强攻
88,祁山之战（蜀守）,0,0.5714285714285714,11,4.0,1,强攻
89,潼关之战（魏守-211）,0,0.6153846153846154,3,1.0,1,死守
90,江陵之战（吴守）,0,0.625,4,0.0,1,死守
91,襄阳之战（魏守）,0,0.4285714285714285,5,5.0,1,强攻
92,寿春之战（魏守-257）,0,0.4,20,6.0,1,死守
93,西陵之战（吴守）,0,0.5555555555555556,6,0.0,1,死守
94,合肥新城之战（魏守-253）,0,0.7142857142857143,24,4.0,1,强攻
95,石门之战（战国）,1,0.3846153846153846,12,1.0,1,伏击
96,丹阳之战（战国）,1,0.5714285714285714,8,0.0,1,撤退
97,方城之战（战国）,1,0.5882352941176471,16,4.0,1,重甲
98,蕲南之战（秦末）,1,0.625,13,5.0,1,强攻
99,陈仓道之战（楚汉）,1,0.375,25,6.0,1,伏击
100,京索之战（楚汉）,0,0.5555555555555556,13,0.0,1,强攻
101,汜水之战（楚汉）,1,0.4545454545454545,21,4.0,0,强攻
102,垓下之战（楚汉）,1,0.75,13,5.0,0,强攻
103,东垣之战（汉初）,1,0.4,5,1.0,1,强攻
104,马邑之战（汉）,0,0.375,2,7.0,1,伏击
105,龙城之战（汉）,1,0.7692307692307692,23,0.0,0,强攻
106,且居之战（汉）,0,0.3333333333333333,14,0.0,1,强攻
107,疏勒城之战（东汉）,0,0.9756097560975612,7,4.0,0,强攻
108,美稷之战（东汉）,0,0.4,23,6.0,1,强攻
109,苍亭之战（东汉）,1,0.3333333333333333,13,0.0,1,强攻
110,葛陂之战（东汉）,1,0.3333333333333333,0,1.0,1,强攻
111,广宗之战（东汉）,1,0.3478260869565217,5,4.0,1,强攻
112,番吾之战（战国）,0,0.5454545454545454,13,5.0,1,强攻
113,蕞之战（战国）,0,0.6,3,0.0,1,强攻
114,岸门之战（战国）,0,0.4545454545454545,13,6.0,1,强攻
115,修鱼之战（战国）,1,0.5833333333333334,13,0.0,1,强攻
116,浊泽之战（战国）,1,0.625,13,4.0,1,强攻
117,垂沙之战（齐守）,0,0.5555555555555556,19,2.0,0,强攻
118,石门之战（秦守）,0,0.3846153846153846,12,0.0,1,伏击
